Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD242V,8.86,low,0.37,Frozen Foods,115.49,OUT23R,2008,Small,Tier 1,Supermarket Type2,1115.52
FD323O,16.89,NA,0.1,Household,82.63,OUT74M,1985,Small,Tier 1,Grocery Store,450.57
FD384Z,19.99,regular,0.4,Baking Goods,152.19,OUT10W,1990,Medium,Tier 3,Supermarket Type1,1497.33
FD881V,18.16,regular,0.11,Starchy Foods,144.82,OUT23F,1997,Small,Tier 1,Supermarket Type2,1697.89
FD926C,6.64,regular,0.09,Frozen Foods,180.2,OUT68I,1988,High,Tier 2,Supermarket Type2,2480.13
FD982X,19.72,low,0.31,Others,206.76,OUT83M,2007,High,Tier 3,Supermarket Type2,2250.74
FD975O,20.22,NA,0.18,Household,91.91,OUT22Y,1993,Medium,Tier 1,Supermarket Type1,1261.03
FD314Q,8.2,regular,0.19,Breakfast,181.59,OUT44S,2006,Medium,Tier 2,Supermarket Type1,997.01
FD488R,5.5,NA,0.27,Household,195.95,OUT91S,2002,Small,Tier 2,Supermarket Type1,1020.0
FD924U,9.05,NA,0.35,Health and Hygiene,252.88,OUT61R,1987,Small,Tier 1,Grocery Store,663.77
FD505P,14.6,regular,0.07,Baking Goods,149.5,OUT68J,1993,,Tier 2,Supermarket Type1,1577.96
FD538L,16.47,low,0.34,Dairy,84.71,OUT61X,1992,High,Tier 3,Supermarket Type2,2864.12
FD256O,11.45,regular,0.31,Dairy,132.61,OUT30Y,2006,Small,Tier 1,Grocery Store,451.62
FD579H,9.19,low,0.21,Starchy Foods,65.35,OUT42J,1985,Medium,Tier 3,Supermarket Type3,1986.51
FD545K,12.3,regular,0.05,Frozen Foods,145.68,OUT68A,2008,Small,Tier 2,Supermarket Type2,1637.28
FD961O,17.76,low,0.06,Soft Drinks,183.67,OUT74M,1991,High,Tier 2,Grocery Store,1228.84
FD100M,10.16,regular,0.18,Dairy,101.82,OUT51F,1985,High,Tier 3,Supermarket Type1,1212.99
FD346K,13.74,regular,0.36,Frozen Foods,146.89,OUT20F,2008,Small,Tier 1,Supermarket Type2,1544.95
FD586J,16.88,low,0.13,Seafood,116.93,OUT31Q,2001,Small,Tier 3,Supermarket Type1,678.63
FD508Q,16.37,low,0.21,Starchy Foods,133.33,OUT93X,1999,High,Tier 2,Supermarket Type1,1905.42
FD446B,19.05,low,0.26,Breakfast,63.61,OUT85J,1992,Small,Tier 1,Supermarket Type1,709.14
FD160O,13.57,NA,0.12,Health and Hygiene,68.91,OUT18C,1995,High,Tier 3,Grocery Store,739.71
FD319I,8.73,NA,0.06,Household,269.7,OUT26U,2003,High,Tier 2,Supermarket Type2,2566.77
FD196G,11.58,low,0.22,Seafood,41.08,OUT94B,1996,Medium,Tier 1,Supermarket Type3,2381.92
FD789P,21.35,regular,0.27,Starchy Foods,179.23,OUT92G,1986,High,Tier 1,Supermarket Type3,3810.78
FD294I,15.44,regular,0.28,Others,154.46,OUT67I,1998,Small,Tier 1,Grocery Store,541.95
FD553Z,15.48,regular,0.19,Canned,266.05,OUT80G,1986,Small,Tier 1,Supermarket Type3,1487.1
FD597E,19.15,low,0.24,Fruits and Vegetables,105.97,OUT37Z,1986,Small,Tier 2,Supermarket Type1,1207.8
FD902Y,7.62,regular,0.31,Canned,223.54,OUT68S,1998,Medium,Tier 2,Grocery Store,737.17
FD159L,19.47,low,0.05,Seafood,50.28,OUT79D,2008,,Tier 1,Supermarket Type1,846.93
FD614H,9.81,low,0.22,Breads,41.94,OUT30D,2001,,Tier 2,Grocery Store,816.97
FD791P,11.93,NA,0.22,Household,192.6,OUT61H,2003,High,Tier 1,Grocery Store,768.19
FD697K,4.74,NA,0.36,Health and Hygiene,159.25,OUT76U,1993,Medium,Tier 3,Grocery Store,777.0
