Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD242V,13.4,low,0.13,Frozen Foods,34.3,OUT23R,2008,Small,Tier 1,Supermarket Type2,1390.83
FD323O,7.86,NA,0.27,Household,65.69,OUT74M,1985,Small,Tier 1,Grocery Store,517.76
FD384Z,9.24,regular,0.07,Baking Goods,252.05,OUT10W,1990,Medium,Tier 3,Supermarket Type1,1214.14
FD881V,11.22,regular,0.18,Starchy Foods,264.07,OUT23F,1997,Small,Tier 1,Supermarket Type2,1802.74
FD926C,12.19,regular,0.07,Frozen Foods,122.65,OUT68I,1988,High,Tier 2,Supermarket Type2,2002.33
FD982X,14.69,low,0.02,Others,175.23,OUT83M,2007,High,Tier 3,Supermarket Type2,2261.16
FD975O,8.59,NA,0.26,Household,128.56,OUT22Y,1993,Medium,Tier 1,Supermarket Type1,910.35
FD314Q,12.01,regular,0.24,Breakfast,65.46,OUT44S,2006,Medium,Tier 2,Supermarket Type1,1203.54
FD488R,15.12,NA,0.21,Household,233.49,OUT91S,2002,Small,Tier 2,Supermarket Type1,1139.4
FD924U,10.21,NA,0.24,Health and Hygiene,225.42,OUT61R,1987,Small,Tier 1,Grocery Store,605.9
FD505P,18.51,regular,0.07,Baking Goods,239.86,OUT68J,1993,High,Tier 2,Supermarket Type1,2019.71
FD538L,20.35,low,0.24,Dairy,172.09,OUT61X,1992,,Tier 3,Supermarket Type2,1861.35
FD256O,5.47,regular,0.3,Dairy,103.0,OUT30Y,2006,Small,Tier 1,Grocery Store,675.65
FD579H,5.67,low,0.27,Starchy Foods,245.88,OUT42J,1985,Medium,Tier 3,Supermarket Type3,3100.62
FD545K,12.54,regular,0.11,Frozen Foods,138.0,OUT68A,2008,Small,Tier 2,Supermarket Type2,1014.5
FD961O,10.02,low,0.39,Soft Drinks,45.01,OUT74M,1991,High,Tier 2,Grocery Store,1077.68
FD100M,13.12,regular,0.04,Dairy,140.26,OUT51F,1985,,Tier 3,Supermarket Type1,1382.98
FD346K,,regular,0.14,Frozen Foods,262.68,OUT20F,2008,Small,Tier 1,Supermarket Type2,1196.01
FD586J,18.89,low,0.38,Seafood,127.07,OUT31Q,2001,Small,Tier 3,Supermarket Type1,1072.62
FD508Q,11.17,low,0.27,Starchy Foods,141.69,OUT93X,1999,High,Tier 2,Supermarket Type1,1185.59
FD446B,15.25,low,0.3,Breakfast,204.04,OUT85J,1992,Small,Tier 1,Supermarket Type1,918.92
FD160O,11.85,NA,0.13,Health and Hygiene,74.87,OUT18C,1995,High,Tier 3,Grocery Store,1189.42
FD319I,9.97,NA,0.34,Household,236.77,OUT26U,2003,,Tier 2,Supermarket Type2,1999.63
FD196G,20.06,low,0.23,Seafood,248.59,OUT94B,1996,Medium,Tier 1,Supermarket Type3,2903.01
FD789P,16.53,regular,0.1,Starchy Foods,32.56,OUT92G,1986,High,Tier 1,Supermarket Type3,2866.53
FD294I,18.02,regular,0.21,Others,145.27,OUT67I,1998,Small,Tier 1,Grocery Store,735.93
FD553Z,7.18,regular,0.34,Canned,268.06,OUT80G,1986,Small,Tier 1,Supermarket Type3,1658.74
FD597E,,low,0.33,Fruits and Vegetables,216.66,OUT37Z,1986,Small,Tier 2,Supermarket Type1,869.01
FD902Y,9.49,regular,0.29,Canned,144.24,OUT68S,1998,Medium,Tier 2,Grocery Store,878.36
FD159L,17.47,low,0.29,Seafood,137.99,OUT79D,2008,Medium,Tier 1,Supermarket Type1,985.0
FD614H,15.65,low,0.11,Breads,161.4,OUT30D,2001,High,Tier 2,Grocery Store,951.8
FD791P,18.83,NA,0.38,Household,252.4,OUT61H,2003,High,Tier 1,Grocery Store,1267.89
FD697K,5.03,NA,0.23,Health and Hygiene,114.68,OUT76U,1993,Medium,Tier 3,Grocery Store,1024.77
FD234Q,11.91,regular,0.37,Baking Goods,191.4,OUT92T,1999,Medium,Tier 2,Supermarket Type1,1363.04
FD676G,,low,0.02,Breads,249.26,OUT19I,1991,Medium,Tier 3,Grocery Store,648.6
FD478S,20.86,low,0.28,Soft Drinks,146.61,OUT30C,2002,Small,Tier 1,Supermarket Type2,1686.53
FD999I,21.44,low,0.25,Meat,66.53,OUT43H,1988,High,Tier 1,Supermarket Type2,2732.69
FD834V,5.8,regular,0.14,Dairy,255.43,OUT36R,2005,High,Tier 1,Supermarket Type2,2897.9
FD749B,20.26,regular,0.19,Soft Drinks,207.49,OUT45C,1985,Small,Tier 1,Supermarket Type2,1586.0
FD552J,14.31,low,0.15,Breads,66.08,OUT64J,1985,Small,Tier 3,Supermarket Type2,1593.11
FD954X,21.14,low,0.18,Frozen Foods,34.11,OUT84J,1989,High,Tier 1,Supermarket Type1,1285.1
FD915C,14.19,low,0.14,Starchy Foods,101.57,OUT55N,2006,Medium,Tier 2,Grocery Store,795.79
FD735V,9.49,NA,0.2,Health and Hygiene,157.6,OUT29P,1990,High,Tier 2,Supermarket Type2,2852.87
FD440Y,5.37,regular,0.17,Canned,134.02,OUT62Z,2006,Small,Tier 3,Grocery Store,526.08
FD491C,6.69,NA,0.15,Health and Hygiene,57.37,OUT70O,1991,,Tier 1,Supermarket Type1,1985.47
FD124Q,16.88,regular,0.15,Breakfast,205.19,OUT34Z,1995,Small,Tier 1,Supermarket Type2,1401.1
FD621Z,19.12,low,0.04,Soft Drinks,266.1,OUT96I,1995,Medium,Tier 3,Supermarket Type2,1495.47
FD371C,10.39,low,0.27,Fruits and Vegetables,118.68,OUT23M,1998,Small,Tier 3,Supermarket Type2,1398.06
FD218Y,17.82,regular,0.12,Hard Drinks,118.89,OUT83M,1993,High,Tier 3,Supermarket Type3,3684.27
FD803U,9.25,regular,0.14,Snack Foods,30.9,OUT95M,1996,High,Tier 3,Grocery Store,750.07
FD779H,16.8,low,0.08,Starchy Foods,203.82,OUT48G,1994,,Tier 2,Supermarket Type2,2304.98
FD667I,11.8,regular,0.3,Starchy Foods,49.06,OUT34A,2006,High,Tier 2,Supermarket Type3,4092.3
FD953A,10.68,low,0.37,Others,165.76,OUT48S,1991,Medium,Tier 3,Supermarket Type2,1571.31
FD791N,5.15,regular,0.08,Starchy Foods,252.41,OUT75E,2008,Medium,Tier 2,Supermarket Type3,3008.05
FD748N,8.83,low,0.12,Canned,152.25,OUT52F,2009,High,Tier 3,Supermarket Type2,2916.45
FD125C,5.74,NA,0.27,Health and Hygiene,240.77,OUT41E,2004,Small,Tier 1,Supermarket Type1,985.85
FD299T,13.01,NA,0.02,Household,175.82,OUT99Y,2000,High,Tier 3,Supermarket Type3,2336.22
FD105W,16.37,low,0.09,Others,239.85,OUT23X,1998,High,Tier 3,Supermarket Type1,1612.95
FD355H,20.18,NA,0.1,Health and Hygiene,214.44,OUT68I,1999,Small,Tier 3,Supermarket Type3,1966.54
FD262V,8.33,regular,0.29,Breads,137.08,OUT70C,1993,High,Tier 2,Supermarket Type3,2637.03
